Model,Memory Size,Battery Health,Price,Link
iphone 15,256gb,100%,750 €,https://mobil.bazos.sk/inzerat/160382641/predam-iphone-15-256gb.php
iphone 8,64gb,100%,180 €,https://mobil.bazos.sk/inzerat/160382215/iphone-8-64gb.php
Model not found,128gb,Battery health not found,V texte,https://mobil.bazos.sk/inzerat/160381277/iphone-se-2016.php
iphone 15,Memory size not found,Battery health not found,8 €,https://mobil.bazos.sk/inzerat/160380860/iphone-15-kryt-obal.php
iphone 15,256gb,Battery health not found,800 €,https://mobil.bazos.sk/inzerat/160378944/predam-iphone-15-256gb.php
iphone 5,Memory size not found,Battery health not found,20 €,https://mobil.bazos.sk/inzerat/160375862/predam-iphone-5.php
iphone 13,Memory size not found,Battery health not found,8 €,https://mobil.bazos.sk/inzerat/160374953/iphone-13-modry-kryt-sklo.php
iphone 11,64 gb,Battery health not found,250 €,https://mobil.bazos.sk/inzerat/160374784/iphone-11.php
iphone 12 pro max,256 gb,Battery health not found,460 €,https://mobil.bazos.sk/inzerat/160371417/iphone-12-pro-max-256-gb-silver.php
iphone 14 pro,Memory size not found,Battery health not found,630 €,https://mobil.bazos.sk/inzerat/160369574/samsung-galaxy-s22-ultra-na-predaj.php
iphone 13,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160369042/iphone-13-kryt-obal-puzdro.php
iphone 13 pro,128gb,89%,650 €,https://mobil.bazos.sk/inzerat/160359850/predamvymenim-iphone-13-pro.php
iphone 14 pro,Memory size not found,Battery health not found,25 €,https://mobil.bazos.sk/inzerat/160359759/iphone-14-pro-case.php
iphone 12 mini,128gb,Battery health not found,330 €,https://mobil.bazos.sk/inzerat/160359337/predam-apple-iphone-12-mini-128gb-biely.php
iphone 11 pro,64gb,Battery health not found,280 €,https://mobil.bazos.sk/inzerat/160358321/apple-iphone-11-pro-64gb-gold.php
Model not found,64 gb,100%,250 €,https://mobil.bazos.sk/inzerat/160358260/apple-iphone-xr-64-gb-biele.php
iphone 12 pro,128gb,82%,380 €,https://mobil.bazos.sk/inzerat/160354686/iphone-12-pro-128gb.php
iphone 14 pro max,256gb,Battery health not found,950 €,https://mobil.bazos.sk/inzerat/160354616/predam-iphone-14-pro-max-256gb-gold-top-stav.php
iphone 14,256gb,94%,770 €,https://mobil.bazos.sk/inzerat/160354529/iphone-14-256gb.php
Model not found,64gb,Battery health not found,165 €,https://mobil.bazos.sk/inzerat/160354438/apple-iphone-xr.php
iphone 7,128gb,88%,140 €,https://mobil.bazos.sk/inzerat/160350407/apple-iphone-7-128gb-rose-gold.php
iphone 15,256gb,100%,900 €,https://mobil.bazos.sk/inzerat/160350140/predam-iphone-15-256gb.php
iphone 14 pro max,512gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160350016/huawei-mate-xs2.php
iphone 14 pro max,512gb,Battery health not found,850 €,https://mobil.bazos.sk/inzerat/160350017/huawei-mate-xs2.php
Model not found,Memory size not found,100%,60 €,https://oblecenie.bazos.sk/inzerat/160349564/panskakvalitnakozena-buda-velkost-l.php
iphone 13 mini,128gb,88%,419 €,https://mobil.bazos.sk/inzerat/160349041/apple-iphone-13-mini-128gb-aj-vymena.php
iphone 14 pro,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160346344/iphone-14-pro-fialovy-kryt-sklo-novy.php
iphone 11,64gb,77%,200 €,https://mobil.bazos.sk/inzerat/160346258/iphone-11-64gb-biely.php
iphone 14 pro max,Memory size not found,Battery health not found,9 €,https://mobil.bazos.sk/inzerat/160345678/iphone-14-pro-max-biely-kryt-sklo.php
iphone 8,64gb,100%,120 €,https://mobil.bazos.sk/inzerat/160344926/iphone-8-64gb.php
iphone 11 pro,256 gb,95%,320 €,https://mobil.bazos.sk/inzerat/160343263/predam-iphone-11-pro-256-gb.php
iphone 12 pro max,128gb,85%,500 €,https://mobil.bazos.sk/inzerat/160342966/iphone-12-pro-max-pacific-blue.php
iphone 6,Memory size not found,Battery health not found,15 €,https://mobil.bazos.sk/inzerat/160342591/iphone6s-na-diely.php
Model not found,Memory size not found,Battery health not found,8 €,https://auto.bazos.sk/inzerat/160340571/1224v-rozdvojka-s-usb-pd-a-voltmetrom.php
iphone 8,64gb,76%,90 €,https://mobil.bazos.sk/inzerat/160340234/iphone-8-64gb.php
iphone 12,128gb,92%,400 €,https://mobil.bazos.sk/inzerat/160338518/iphone-12-black.php
iphone 13,256gb,88%,449 €,https://mobil.bazos.sk/inzerat/160059186/iphone-13-256gb-88-bateria.php
Model not found,Memory size not found,Battery health not found,649 €,https://mobil.bazos.sk/inzerat/160061937/apple-watch-ultra-2.php
iphone 15 pro,Memory size not found,Battery health not found,20 €,https://mobil.bazos.sk/inzerat/160336805/ochranne-sklokamerakryt-iphone-15-pro.php
iphone 6,64gb,Battery health not found,120 €,https://mobil.bazos.sk/inzerat/160059050/predam-iphone-6s-plus-64gb.php
iphone 15,128gb,Battery health not found,800 €,https://mobil.bazos.sk/inzerat/160334054/iphone-15-128gb-black.php
iphone 8 plus,64gb,Battery health not found,135 €,https://mobil.bazos.sk/inzerat/160333122/iphone-8-plus-zachovaly.php
iphone 13 pro,256gb,Battery health not found,670 €,https://mobil.bazos.sk/inzerat/160330178/predam-iphone-13-pro-256gb.php
iphone 13 mini,128gb,86%,400 €,https://mobil.bazos.sk/inzerat/160326959/iphone-13-mini.php
iphone 13 mini,Memory size not found,Battery health not found,5 €,https://mobil.bazos.sk/inzerat/160319535/apple-iphone-13-mini-obal-a-ochranne-sklo.php
Model not found,64gb,83%,160 €,https://mobil.bazos.sk/inzerat/160319300/apple-iphone-xr-product-red.php
iphone 12,64gb,86%,290 €,https://mobil.bazos.sk/inzerat/160317515/iphone-12-64gb.php
